X,Y,OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A
-74.119104633,4.513019671,130,14325896,AA1238585,2012/11/22 05:00:00+00,11:10:00,2012,NOVIEMBRE,JUEVES,2012/11/22 16:10:00+00,DG 76BIS-KR3 S 56,ATROPELLO,USME,,PEATON,N,,MASCULINO,1,PEATON
-74.056,4.6422,336,14297743,AA1106013,2012/09/20 05:00:00+00,09:48:00,2012,SEPTIEMBRE,JUEVES,2012/09/20 14:48:00+00,AV AVENIDA CIRCUNVALAR-CL 1A 35,CHOQUE,CHAPINERO,1,CONDUCTOR,N,,MASCULINO,22,CONDUCTOR
-74.135910455,4.70343508299999,625,14315933,AA1233818,2012/09/19 05:00:00+00,06:40:00,2012,SEPTIEMBRE,MIERCOLES,2012/09/19 11:40:00+00,CL 63-KR112 44,ATROPELLO,ENGATIVA,,PEATON,S,2012/09/19 05:00:00+00,MASCULINO,48,PEATON
-74.109598282,4.50136860999999,774,14300821,AA1108531,2012/08/20 05:00:00+00,20:40:00,2012,AGOSTO,LUNES,2012/08/21 01:40:00+00,KR 5-CL91 S 02,CHOQUE,USME,1,CONDUCTOR,S,2012/08/23 05:00:00+00,MASCULINO,37,CONDUCTOR
-74.137483103,4.63168220699998,1189,14309034,AA1253908,2012/12/22 05:00:00+00,07:30:00,2012,DICIEMBRE,SABADO,2012/12/22 12:30:00+00,AV AVENIDA BOYACA-CL 6B 14,ATROPELLO,KENNEDY,,PEATON,S,2012/12/26 05:00:00+00,FEMENINO,57,PEATON
-74.0904,4.6164,1223,14297859,AA1235431,2012/10/11 05:00:00+00,21:40:00,2012,OCTUBRE,JUEVES,2012/10/12 02:40:00+00,AK 30-CL17 02,ATROPELLO,PUENTE ARANDA,,PEATON,N,,MASCULINO,91,PEATON
-74.1106,4.56099999999998,1407,14302489,AA1239012,2012/11/13 05:00:00+00,10:37:00,2012,NOVIEMBRE,MARTES,2012/11/13 15:37:00+00,TR 5H-DG46 S 02,ATROPELLO,RAFAEL URIBE URIBE,,PEATON,S,2012/11/16 05:00:00+00,FEMENINO,31,PEATON
-74.170698092,4.62346988500002,1438,14303657,AA1239755,2012/11/21 05:00:00+00,14:00:00,2012,NOVIEMBRE,MIERCOLES,2012/11/21 19:00:00+00,CL 46-KR81C S 62,ATROPELLO,KENNEDY,,PEATON,S,2012/11/26 05:00:00+00,MASCULINO,83,PEATON
-74.164300131,4.69048129700002,1770,14312109,AA1237322,2012/10/27 05:00:00+00,11:40:00,2012,OCTUBRE,SABADO,2012/10/27 16:40:00+00,CL 17-KR128 65,CHOQUE,FONTIBON,2,CONDUCTOR,S,2012/10/27 05:00:00+00,MASCULINO,37,CONDUCTOR
-74.103650469,4.66809585499999,2057,14311386,AA1236104,2012/10/17 05:00:00+00,08:55:00,2012,OCTUBRE,MIERCOLES,2012/10/17 13:55:00+00,AV AVENIDA DE LA CONSTITUCION-CL 53 02,ATROPELLO,ENGATIVA,,PEATON,S,2012/11/17 05:00:00+00,FEMENINO,76,PEATON
-74.144635758,4.59890211499999,2182,14303798,AA1238337,2012/11/03 05:00:00+00,23:15:00,2012,NOVIEMBRE,SABADO,2012/11/04 04:15:00+00,AV AVENIDA BOYACA-CL 44 S 02,ATROPELLO,KENNEDY,,PEATON,S,2012/11/09 05:00:00+00,FEMENINO,37,PEATON
-74.022666691,4.73916348,2611,14304163,AA1247082,2013/03/03 05:00:00+00,11:20:00,2013,MARZO,DOMINGO,2013/03/03 16:20:00+00,KR 7-CL164 02,ATROPELLO,USAQUEN,,PEATON,S,2013/03/04 05:00:00+00,FEMENINO,75,PEATON
-74.169067048,4.58083791299998,2783,14297823,AA1109072,2012/06/07 05:00:00+00,08:55:00,2012,JUNIO,JUEVES,2012/06/07 13:55:00+00,CL 69B-KR73H S 62,ATROPELLO,CIUDAD BOLIVAR,,PEATON,N,,MASCULINO,70,PEATON
