"FID","CODIGO_ACC","FORMULARIO","FECHA_OCUR","HORA_OCURR","ANO_OCURRE","MES_OCURRE","DIA_OCURRE","FECHA_HORA","DIRECCION","CLASE_ACC","LOCALIDAD","CODIGO_VEH","CONDICION","MUERTE_POS","FECHA_POST","GENERO","EDAD","GRUPO ETARIO","UPL","CATEGORÍA"
"2073","12630727","A000907613","43466","00:30:00","2019","ENERO","MARTES","43466","AV AVENIDA BOYACA-CL 60 S 05","ATROPELLO","CIUDAD BOLIVAR","0","PEATON","N","","MASCULINO","19","JUVENTUD","Lucero","FATAL"
"735","12605748","A000907641","43478","20:15:00","2019","ENERO","DOMINGO","43478","KR 45-CL 232 02","VOLCAMIENTO","SUBA","2","PASAJERO","N","","FEMENINO","11","INFANCIA","Torca","FATAL"
"654","12605913","A000907642","43480","10:30:00","2019","ENERO","MARTES","43480","KR 104-CL 78F 11","CHOQUE","ENGATIVA","1","CICLISTA"," ","","MASCULINO","64","ADULTO MAYOR","Engativá","FATAL"
"2072","12603992","A000907643","43467","18:40:00","2019","ENERO","MIERCOLES","43467","AV AVENIDA BOYACA-AV AVENIDA DE LAS AMERICAS 2","ATROPELLO","KENNEDY","0","PEATON","N","","MASCULINO","80","ADULTO MAYOR","Tintal","FATAL"
"2049","12607499","A000907644","43486","13:30:00","2019","ENERO","LUNES","43486","CL 40-TR 1F SE 2","ATROPELLO","SAN CRISTOBAL","0","PEATON","N","","MASCULINO","86","ADULTO MAYOR","San Cristóbal","FATAL"
"2148","12604467","A000907739","43471","01:43:00","2019","ENERO","DOMINGO","43471","CL 153-KR 103 2","VOLCAMIENTO","SUBA","1","MOTOCICLISTA"," ","","MASCULINO","28","JUVENTUD","Suba","FATAL"
"1934","12604730","A000907821","43473","09:50:00","2019","ENERO","MARTES","43473","KR 106-CL 15A 25","ATROPELLO","FONTIBON","0","PEATON","N","","MASCULINO","50","ADULTEZ","Fontibón","FATAL"
"733","12605745","A000907822","43479","05:15:00","2019","ENERO","LUNES","43479","AV AVENIDA DE LAS AMERICAS-AK 68 2","VOLCAMIENTO","PUENTE ARANDA","2","CICLISTA"," ","","FEMENINO","39","ADULTEZ","Puente Aranda","FATAL"
"458","12607034","A000907823","43485","22:37:00","2019","ENERO","DOMINGO","43485","KR 17-CL 57 2","CHOQUE","TEUSAQUILLO","2","MOTOCICLISTA"," ","","MASCULINO","31","ADULTEZ","Teusaquillo","FATAL"
"736","12605749","A000908029","43479","07:40:00","2019","ENERO","LUNES","43479","AK 30-CL 49A 44","VOLCAMIENTO","TEUSAQUILLO","1","MOTOCICLISTA"," ","","MASCULINO","28","JUVENTUD","Teusaquillo","FATAL"
